"DateTime","Final price"
"2022-10-27 14:10:02",19.99
"2022-12-22 18:18:14",17.99
"2023-01-05 18:25:13",19.99
"2023-03-16 17:24:31",17.99
"2023-03-23 17:24:42",19.99
"2023-05-14 17:02:31",15.99
"2023-05-21 17:02:28",19.99
"2023-06-22 17:02:45",15.99
"2023-07-13 17:25:01",19.99
"2023-09-06 18:05:02",15.99
"2023-09-11 07:05:02",19.99
"2023-10-26 17:22:49",15.99
"2023-11-02 17:27:57",19.99
"2023-11-21 18:13:42",13.99
"2023-11-28 18:30:40",19.99
"2023-12-21 18:11:31",13.99
"2024-01-04 18:32:02",19.99
"2024-03-01 18:02:16",13.99
"2024-03-05 00:12:21",13.99
